SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,Module_Color,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared.name,Stress,TopologicalCoefficient,SNP
308495,4.57508369,3.48547451215505e-05,0.21857524,0,2,10,false,2,uniprotkb:Q9H9J2,134,2,0,0,0.76166109,false,0,uniprotkb:Q9H9J2,54908,0.51750973,No
308496,4.59014825,0,0.21785789,0,1,10,false,2,uniprotkb:Q8NC60,230,1,0,0,0.76065678,false,0,uniprotkb:Q8NC60,0,0,No
308497,4.65303682,0,0.21491341,0,3,10,false,1,uniprotkb:Q96R06,5,3,0,1,0.75646421,false,0,uniprotkb:Q96R06,0,0,No
308498,4.65303682,0,0.21491341,0,3,10,false,1,uniprotkb:O60333,5,3,0,1,0.75646421,false,0,uniprotkb:O60333,0,0,No
308499,4.65303682,0,0.21491341,0,1,10,false,1,uniprotkb:Q86SQ0,5,1,0,0,0.75646421,false,0,uniprotkb:Q86SQ0,0,0,No
308500,4.62745098,1.58265813045788e-07,0.21610169,0.83333333,11,10,false,1,uniprotkb:Q9NP77,9,11,0,4,0.75816993,false,0,uniprotkb:Q9NP77,70,0.6,No
308501,4.15901483,0,0.24044156,0,1,9,false,0,uniprotkb:Q96PU5-2,108,1,0,0,0.78939901,false,0,uniprotkb:Q96PU5-2,0,0,No
308502,4.15901483,0,0.24044156,0,1,9,false,0,uniprotkb:O35179,108,1,0,0,0.78939901,false,0,uniprotkb:O35179,0,0,No
308503,5.18220947,0,0.19296788,0,2,10,false,0,uniprotkb:Q9UKW4,21,2,0,1,0.72118604,false,0,uniprotkb:Q9UKW4,0,0,Yes
308504,5.18220947,0,0.19296788,0,2,10,false,0,uniprotkb:P36888,21,2,0,1,0.72118604,false,0,uniprotkb:P36888,0,0,Yes
308505,5.19177427,0,0.19261238,0,2,10,false,4,uniprotkb:O96028,9,2,0,1,0.72054838,false,0,uniprotkb:O96028,0,0,No
308506,5.74964132,0,0.17392389,0,2,10,false,0,uniprotkb:Q99K10,7,2,0,1,0.68335725,false,0,uniprotkb:Q99K10,0,0,No
308507,5.74964132,0,0.17392389,0,4,10,false,0,intact:EBI-7281394,7,4,0,1,0.68335725,false,0,intact:EBI-7281394,0,0,No
308508,5.74964132,0,0.17392389,0,2,10,false,0,uniprotkb:Q69ZK9,7,2,0,1,0.68335725,false,0,uniprotkb:Q69ZK9,0,0,No
308509,5.74964132,0,0.17392389,0,2,10,false,0,uniprotkb:Q9CS84,7,2,0,1,0.68335725,false,0,uniprotkb:Q9CS84,0,0,No
308510,5.74964132,0,0.17392389,0,2,10,false,0,uniprotkb:Q6P9K9,7,2,0,1,0.68335725,false,0,uniprotkb:Q6P9K9,0,0,No
308511,5.74964132,0,0.17392389,0,1,10,false,0,uniprotkb:P39688,7,1,0,0,0.68335725,false,0,uniprotkb:P39688,0,0,No
308512,5.12984218,0,0.19493777,1,4,10,false,0,uniprotkb:P0C0S5,3.5,4,0,1,0.72467719,false,0,uniprotkb:P0C0S5,0,0.7,No
308513,5.12984218,0,0.19493777,1,2,10,false,0,uniprotkb:Q9GZN1,3.5,2,0,0,0.72467719,false,0,uniprotkb:Q9GZN1,0,0.7,No
